Vegetable Pulao, Paneer Tikka, Butter Naan
Veg Manchurian, Dal Tadka, Aloo Gobi Masala
Palak Paneer, Veg Biryani, Butter Naan
Chicken Biryani, Tandoori Chicken
Butter Chicken, Garlic Naan
Chicken Tikka Masala, Veg Pizza
Fish Fry, Prawn Masala
Mutton Biryani, Lamb Rogan Josh
Goan Fish Curry, Butter Naan
Paneer Butter Masala, Veg Pizza
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Rava Dosa, Poori (2 Pieces), Veg Fried Rice
Mini Tiffin, Paneer Dosa, Set Dosa
Ragi Dosa, Podi Idli (2 Pieces), Bisibelabath
Ghee Roast Dosa, Veg Pulao
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut
Cinnamon Apple Doughnut, Strawberry Shortcake Doughnut, Blueberry Cake Doughnut
Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Chicken Waffle Tenders (5 pcs), Red Beans & Rice (Regular), Coleslaw (Regular), Mashed Potatoes with Cajun Gravy (Regular)
Cajun Rice (Regular), Apple Pie, Chocolate Beignets, Sweet Heat Sauce
Classic Chicken Sandwich, Spicy Chicken Sandwich, Chicken Tenders (3 pcs), Chicken Tenders (5 pcs)
Cajun Fries (Regular), Buttermilk Biscuit, Louisiana Chicken Combo (2 pcs), Louisiana Chicken Combo (3 pcs)
Cajun Fish Sandwich, Cajun Fish Combo, Shrimp Combo, Chicken Waffle Tenders (3 pcs)
Chicken Waffle Tenders (5 pcs), Red Beans & Rice (Regular), Coleslaw (Regular), Mashed Potatoes with Cajun Gravy (Regular)
Cajun Rice (Regular), Apple Pie, Chocolate Beignets, Sweet Heat Sauce
Classic Chicken Sandwich, Spicy Chicken Sandwich, Chicken Tenders (3 pcs), Chicken Tenders (5 pcs)
Cajun Fries (Regular), Buttermilk Biscuit, Louisiana Chicken Combo (2 pcs), Louisiana Chicken Combo (3 pcs)
Cajun Fish Sandwich, Cajun Fish Combo, Shrimp Combo, Chicken Waffle Tenders (3 pcs)
Chicken Waffle Tenders (5 pcs), Red Beans & Rice (Regular), Coleslaw (Regular), Mashed Potatoes with Cajun Gravy (Regular)
Cajun Rice (Regular), Apple Pie, Chocolate Beignets, Sweet Heat Sauce
Classic Chicken Sandwich, Spicy Chicken Sandwich, Chicken Tenders (3 pcs), Chicken Tenders (5 pcs)
Cajun Fries (Regular), Buttermilk Biscuit, Louisiana Chicken Combo (2 pcs), Louisiana Chicken Combo (3 pcs)
Cajun Fish Sandwich, Cajun Fish Combo, Shrimp Combo, Chicken Waffle Tenders (3 pcs)
Chicken Waffle Tenders (5 pcs), Red Beans & Rice (Regular), Coleslaw (Regular), Mashed Potatoes with Cajun Gravy (Regular)
Cajun Rice (Regular), Apple Pie, Chocolate Beignets, Sweet Heat Sauce
Classic Chicken Sandwich, Spicy Chicken Sandwich, Chicken Tenders (3 pcs), Chicken Tenders (5 pcs)
Cajun Fries (Regular), Buttermilk Biscuit, Louisiana Chicken Combo (2 pcs), Louisiana Chicken Combo (3 pcs)
Cajun Fish Sandwich, Cajun Fish Combo, Shrimp Combo, Chicken Waffle Tenders (3 pcs)
Chicken Waffle Tenders (5 pcs), Red Beans & Rice (Regular), Coleslaw (Regular), Mashed Potatoes with Cajun Gravy (Regular)
Cajun Rice (Regular), Apple Pie, Chocolate Beignets, Sweet Heat Sauce
Chicken Biryani, Mutton Biryani, Veg Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Veg Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Veg Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Veg Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Veg Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Veg Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Veg Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Veg Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Veg Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Veg Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Veg Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Veg Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Veg Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Veg Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Veg Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Veg Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Veg Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Veg Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Veg Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Veg Fried Rice, Chicken Fried Rice, Fish Curry
Masala Dosa, Idli Sambhar, Vada Sambhar, Plain Dosa
Onion Uttapam, Rava Masala Dosa, Mysore Masala Dosa, Pongal
Vegetable Upma, Ghee Roast Dosa, Rava Idli Sambhar, Set Dosa
Poori Bhaji, Paper Dosa, Medu Vada, Rava Kesari
Rava Upma, Tomato Uttapam, Ghee Pongal, Kesari Bath
Masala Dosa, Idli Sambhar, Vada Sambhar, Plain Dosa
Onion Uttapam, Rava Masala Dosa, Mysore Masala Dosa, Pongal
Vegetable Upma, Ghee Roast Dosa, Rava Idli Sambhar, Set Dosa
Poori Bhaji, Paper Dosa, Medu Vada, Rava Kesari
Rava Upma, Tomato Uttapam, Ghee Pongal, Kesari Bath
Masala Dosa, Idli Sambhar, Vada Sambhar, Plain Dosa
Onion Uttapam, Rava Masala Dosa, Mysore Masala Dosa, Pongal
Vegetable Upma, Ghee Roast Dosa, Rava Idli Sambhar, Set Dosa
Poori Bhaji, Paper Dosa, Medu Vada, Rava Kesari
Rava Upma, Tomato Uttapam, Ghee Pongal, Kesari Bath
Masala Dosa, Idli Sambhar, Vada Sambhar, Plain Dosa
Onion Uttapam, Rava Masala Dosa, Mysore Masala Dosa, Pongal
Vegetable Upma, Ghee Roast Dosa, Rava Idli Sambhar, Set Dosa
Poori Bhaji, Paper Dosa, Medu Vada, Rava Kesari
Rava Upma, Tomato Uttapam, Ghee Pongal, Kesari Bath
Masala Dosa, Idli Sambhar, Vada Sambhar, Plain Dosa
Onion Uttapam, Rava Masala Dosa, Mysore Masala Dosa, Pongal
Vegetable Upma, Ghee Roast Dosa, Rava Idli Sambhar, Set Dosa
Poori Bhaji, Paper Dosa, Medu Vada, Rava Kesari
Rava Upma, Tomato Uttapam, Ghee Pongal, Kesari Bath
Masala Dosa, Idli Sambhar, Vada Sambhar, Plain Dosa
Onion Uttapam, Rava Masala Dosa, Mysore Masala Dosa, Pongal
Vegetable Upma, Ghee Roast Dosa, Rava Idli Sambhar, Set Dosa
Poori Bhaji, Paper Dosa, Medu Vada, Rava Kesari
Rava Upma, Tomato Uttapam, Ghee Pongal, Kesari Bath
Masala Dosa, Idli Sambhar, Vada Sambhar, Plain Dosa
Onion Uttapam, Rava Masala Dosa, Mysore Masala Dosa, Pongal
Vegetable Upma, Ghee Roast Dosa, Rava Idli Sambhar, Set Dosa
Poori Bhaji, Paper Dosa, Medu Vada, Rava Kesari
Rava Upma, Tomato Uttapam, Ghee Pongal, Kesari Bath
Masala Dosa, Idli Sambhar, Vada Sambhar, Plain Dosa
Onion Uttapam, Rava Masala Dosa, Mysore Masala Dosa, Pongal
Vegetable Upma, Ghee Roast Dosa, Rava Idli Sambhar, Set Dosa
Poori Bhaji, Paper Dosa, Medu Vada, Rava Kesari
Rava Upma, Tomato Uttapam, Ghee Pongal, Kesari Bath
Masala Dosa, Idli Sambhar, Vada Sambhar, Plain Dosa
Onion Uttapam, Rava Masala Dosa, Mysore Masala Dosa, Pongal
Vegetable Upma, Ghee Roast Dosa, Rava Idli Sambhar, Set Dosa
Poori Bhaji, Paper Dosa, Medu Vada, Rava Kesari
Rava Upma, Tomato Uttapam, Ghee Pongal, Kesari Bath
Masala Dosa, Idli Sambhar, Vada Sambhar, Plain Dosa
Onion Uttapam, Rava Masala Dosa, Mysore Masala Dosa, Pongal
Vegetable Upma, Ghee Roast Dosa, Rava Idli Sambhar, Set Dosa
Poori Bhaji, Paper Dosa, Medu Vada, Rava Kesari
Rava Upma, Tomato Uttapam, Ghee Pongal, Kesari Bath
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut, Caramel Glazed Doughnut
Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut, Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut
New York Cheesecake Doughnut, Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut, Cinnamon Apple Doughnut
Strawberry Shortcake Doughnut, Blueberry Cake Doughnut, Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut, Caramel Glazed Doughnut
Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut, Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut
New York Cheesecake Doughnut, Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut, Cinnamon Apple Doughnut
Strawberry Shortcake Doughnut, Blueberry Cake Doughnut, Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut, Caramel Glazed Doughnut
Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut, Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut
New York Cheesecake Doughnut, Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut, Cinnamon Apple Doughnut
Strawberry Shortcake Doughnut, Blueberry Cake Doughnut, Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut, Caramel Glazed Doughnut
Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut, Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut
New York Cheesecake Doughnut, Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut, Cinnamon Apple Doughnut
Strawberry Shortcake Doughnut, Blueberry Cake Doughnut, Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut, Caramel Glazed Doughnut
Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut, Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut
New York Cheesecake Doughnut, Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut, Cinnamon Apple Doughnut
Strawberry Shortcake Doughnut, Blueberry Cake Doughnut, Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Paneer Tikka Masala, Butter Chicken, Dal Makhani, Chicken Biryani
Veg Pulao, Palak Paneer, Chicken Curry, Vegetable Korma
Tandoori Chicken, Chana Masala, Mutton Rogan Josh, Paneer Butter Masala
Chicken Tikka, Aloo Gobi, Fish Curry, Mixed Vegetable Pakora
Chicken 65, Mutton Biryani, Baingan Bharta, Chicken Kebab
Paneer Tikka Masala, Butter Chicken, Dal Makhani, Chicken Biryani
Veg Pulao, Palak Paneer, Chicken Curry, Vegetable Korma
Tandoori Chicken, Chana Masala, Mutton Rogan Josh, Paneer Butter Masala
Chicken Tikka, Aloo Gobi, Fish Curry, Mixed Vegetable Pakora
Chicken 65, Mutton Biryani, Baingan Bharta, Chicken Kebab
Paneer Tikka Masala, Butter Chicken, Dal Makhani, Chicken Biryani
Veg Pulao, Palak Paneer, Chicken Curry, Vegetable Korma
Tandoori Chicken, Chana Masala, Mutton Rogan Josh, Paneer Butter Masala
Chicken Tikka, Aloo Gobi, Fish Curry, Mixed Vegetable Pakora
Chicken 65, Mutton Biryani, Baingan Bharta, Chicken Kebab
Paneer Tikka Masala, Butter Chicken, Dal Makhani, Chicken Biryani
Veg Pulao, Palak Paneer, Chicken Curry, Vegetable Korma
Tandoori Chicken, Chana Masala, Mutton Rogan Josh, Paneer Butter Masala
Chicken Tikka, Aloo Gobi, Fish Curry, Mixed Vegetable Pakora
Chicken 65, Mutton Biryani, Baingan Bharta, Chicken Kebab
Paneer Tikka Masala, Butter Chicken, Dal Makhani, Chicken Biryani
Veg Pulao, Palak Paneer, Chicken Curry, Vegetable Korma
Tandoori Chicken, Chana Masala, Mutton Rogan Josh, Paneer Butter Masala
Chicken Tikka, Aloo Gobi, Fish Curry, Mixed Vegetable Pakora
Chicken 65, Mutton Biryani, Baingan Bharta, Chicken Kebab
Butter Chicken, Chicken Biryani, Chicken Curry, Tandoori Chicken
Mutton Rogan Josh, Chicken Tikka, Chicken 65, Mutton Biryani
Paneer Tikka Masala, Palak Paneer, Vegetable Korma, Chana Masala
Aloo Gobi, Baingan Bharta, Mixed Vegetable Pakora, Fish Curry
Dal Makhani, Veg Pulao, Paneer Butter Masala, Chicken Kebab
Butter Chicken, Chicken Biryani, Chicken Curry, Tandoori Chicken
Mutton Rogan Josh, Chicken Tikka, Chicken 65, Mutton Biryani
Paneer Tikka Masala, Palak Paneer, Vegetable Korma, Chana Masala
Aloo Gobi, Baingan Bharta, Mixed Vegetable Pakora, Fish Curry
Dal Makhani, Veg Pulao, Paneer Butter Masala, Chicken Kebab
Butter Chicken, Chicken Biryani, Chicken Curry, Tandoori Chicken
Mutton Rogan Josh, Chicken Tikka, Chicken 65, Mutton Biryani
Paneer Tikka Masala, Palak Paneer, Vegetable Korma, Chana Masala
Aloo Gobi, Baingan Bharta, Mixed Vegetable Pakora, Fish Curry
Dal Makhani, Veg Pulao, Paneer Butter Masala, Chicken Kebab
Butter Chicken, Chicken Biryani, Chicken Curry, Tandoori Chicken
Mutton Rogan Josh, Chicken Tikka, Chicken 65, Mutton Biryani
Paneer Tikka Masala, Palak Paneer, Vegetable Korma, Chana Masala
Aloo Gobi, Baingan Bharta, Mixed Vegetable Pakora, Fish Curry
Dal Makhani, Veg Pulao, Paneer Butter Masala, Chicken Kebab
Butter Chicken, Chicken Biryani, Chicken Curry, Tandoori Chicken
Mutton Rogan Josh, Chicken Tikka, Chicken 65, Mutton Biryani
Paneer Tikka Masala, Palak Paneer, Vegetable Korma, Chana Masala
Aloo Gobi, Baingan Bharta, Mixed Vegetable Pakora, Fish Curry
Dal Makhani, Veg Pulao, Paneer Butter Masala, Chicken Kebab
Whopper Burger, Big King XL Burger, Paneer King Melt Burger, Crispy Veg Supreme Burger
Chicken Tandoor Grill Burger, Veggie Strips Burger, Grilled Chicken Burger, BK Veggie Burger
Chicken Chilli Cheese Burger, Paneer King Burger, BBQ Bacon King Burger, Cheese Melt Veg Burger
Mutton Whopper Burger, Crispy Chicken Supreme Burger, Fiery Chicken Burger, Jalapeno King Burger
Bacon King Burger, Cheese Lover Veg Burger, Spicy Paneer Burger, Angriest Whopper Burger
Whopper Burger, Big King XL Burger, Paneer King Melt Burger, Crispy Veg Supreme Burger
Chicken Tandoor Grill Burger, Veggie Strips Burger, Grilled Chicken Burger, BK Veggie Burger
Chicken Chilli Cheese Burger, Paneer King Burger, BBQ Bacon King Burger, Cheese Melt Veg Burger
Mutton Whopper Burger, Crispy Chicken Supreme Burger, Fiery Chicken Burger, Jalapeno King Burger
Bacon King Burger, Cheese Lover Veg Burger, Spicy Paneer Burger, Angriest Whopper Burger
Whopper Burger, Big King XL Burger, Paneer King Melt Burger, Crispy Veg Supreme Burger
Chicken Tandoor Grill Burger, Veggie Strips Burger, Grilled Chicken Burger, BK Veggie Burger
Chicken Chilli Cheese Burger, Paneer King Burger, BBQ Bacon King Burger, Cheese Melt Veg Burger
Mutton Whopper Burger, Crispy Chicken Supreme Burger, Fiery Chicken Burger, Jalapeno King Burger
Bacon King Burger, Cheese Lover Veg Burger, Spicy Paneer Burger, Angriest Whopper Burger
Whopper Burger, Big King XL Burger, Paneer King Melt Burger, Crispy Veg Supreme Burger
Chicken Tandoor Grill Burger, Veggie Strips Burger, Grilled Chicken Burger, BK Veggie Burger
Chicken Chilli Cheese Burger, Paneer King Burger, BBQ Bacon King Burger, Cheese Melt Veg Burger
Mutton Whopper Burger, Crispy Chicken Supreme Burger, Fiery Chicken Burger, Jalapeno King Burger
Bacon King Burger, Cheese Lover Veg Burger, Spicy Paneer Burger, Angriest Whopper Burger
Whopper Burger, Big King XL Burger, Paneer King Melt Burger, Crispy Veg Supreme Burger
Chicken Tandoor Grill Burger, Veggie Strips Burger, Grilled Chicken Burger, BK Veggie Burger
Chicken Chilli Cheese Burger, Paneer King Burger, BBQ Bacon King Burger, Cheese Melt Veg Burger
Mutton Whopper Burger, Crispy Chicken Supreme Burger, Fiery Chicken Burger, Jalapeno King Burger
Bacon King Burger, Cheese Lover Veg Burger, Spicy Paneer Burger, Angriest Whopper Burger
Whopper Burger, Big King XL Burger, Paneer King Melt Burger, Crispy Veg Supreme Burger
Chicken Tandoor Grill Burger, Veggie Strips Burger, Grilled Chicken Burger, BK Veggie Burger
Chicken Chilli Cheese Burger, Paneer King Burger, BBQ Bacon King Burger, Cheese Melt Veg Burger
Mutton Whopper Burger, Crispy Chicken Supreme Burger, Fiery Chicken Burger, Jalapeno King Burger
Bacon King Burger, Cheese Lover Veg Burger, Spicy Paneer Burger, Angriest Whopper Burger
Whopper Burger, Big King XL Burger, Paneer King Melt Burger, Crispy Veg Supreme Burger
Chicken Tandoor Grill Burger, Veggie Strips Burger, Grilled Chicken Burger, BK Veggie Burger
Chicken Chilli Cheese Burger, Paneer King Burger, BBQ Bacon King Burger, Cheese Melt Veg Burger
Mutton Whopper Burger, Crispy Chicken Supreme Burger, Fiery Chicken Burger, Jalapeno King Burger
Bacon King Burger, Cheese Lover Veg Burger, Spicy Paneer Burger, Angriest Whopper Burger
Whopper Burger, Big King XL Burger, Paneer King Melt Burger, Crispy Veg Supreme Burger
Chicken Tandoor Grill Burger, Veggie Strips Burger, Grilled Chicken Burger, BK Veggie Burger
Chicken Chilli Cheese Burger, Paneer King Burger, BBQ Bacon King Burger, Cheese Melt Veg Burger
Mutton Whopper Burger, Crispy Chicken Supreme Burger, Fiery Chicken Burger, Jalapeno King Burger
Bacon King Burger, Cheese Lover Veg Burger, Spicy Paneer Burger, Angriest Whopper Burger
Whopper Burger, Big King XL Burger, Paneer King Melt Burger, Crispy Veg Supreme Burger
Chicken Tandoor Grill Burger, Veggie Strips Burger, Grilled Chicken Burger, BK Veggie Burger
Chicken Chilli Cheese Burger, Paneer King Burger, BBQ Bacon King Burger, Cheese Melt Veg Burger
Mutton Whopper Burger, Crispy Chicken Supreme Burger, Fiery Chicken Burger, Jalapeno King Burger
Bacon King Burger, Cheese Lover Veg Burger, Spicy Paneer Burger, Angriest Whopper Burger
Chicken Biryani, Mutton Biryani, Vegetable Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Vegetable Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Vegetable Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Vegetable Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Vegetable Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Vegetable Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Vegetable Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Vegetable Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Vegetable Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Vegetable Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Vegetable Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Vegetable Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Vegetable Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Vegetable Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Vegetable Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Vegetable Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Vegetable Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Vegetable Fried Rice, Chicken Fried Rice, Fish Curry
Chicken Biryani, Mutton Biryani, Vegetable Biryani, Egg Biryani
Prawn Biryani, Chicken 65, Mutton Chukka, Veg Kurma
Chicken Gravy, Mutton Sukka, Egg Masala, Paneer Butter Masala
Parotta, Idiyappam, Egg Kothu Parotta, Chicken Noodles
Mutton Noodles, Vegetable Fried Rice, Chicken Fried Rice, Fish Curry
Margherita Pizza (Regular), Farmhouse Pizza (Regular), Paneer Tikka Pizza (Regular), Veggie Supreme Pizza (Regular)
Chicken Supreme Pizza (Regular), Chicken Tikka Pizza (Regular), Ultimate Chicken Pizza (Regular), Pepperoni Pizza (Regular)
Exotica Pizza (Regular), Spicy Veggie Pizza (Regular), Triple Chicken Feast Pizza (Regular), Paneer Overloaded Pizza (Regular)
Veggie Lovers Pizza (Regular), Tandoori Paneer Pizza (Regular), Chicken Sausage Pizza (Regular), Classic Corn Pizza (Regular)
Veggie Paradise Pizza (Regular), Chicken Overloaded Pizza (Regular), BBQ Chicken Pizza (Regular), Spicy Chicken Pizza (Regular)
Margherita Pizza (Regular), Farmhouse Pizza (Regular), Paneer Tikka Pizza (Regular), Veggie Supreme Pizza (Regular)
